country,population_2020,gdp_per_capita_2020_usd,avg_gov_exp_edu_gdp_pct_20y
Afghanistan,39074280,517.0,3.4
Albania,2877239,5332.0,3.43
Algeria,43984569,3337.0,6.03
American Samoa,55169,15502.0,14.72
Andorra,77287,37207.0,2.68
Angola,33032075,1604.0,2.79
Anguilla,15026,1604.0,2.79
Antigua and Barbuda,98069,14788.0,2.8
Argentina,45267449,8496.0,4.81
Armenia,2964219,4506.0,2.73
Aruba,106845,24488.0,5.5
Australia,25550683,51720.0,5.04
Austria,9015361,48809.0,5.44
Azerbaijan,10154978,4230.0,2.84
Bahamas,393893,4230.0,2.36
Bahrain,1711057,23502.0,2.57
Bangladesh,164972348,2233.0,1.99
Barbados,287437,16644.0,5.26
Belarus,9448772,6543.0,5.17
Belgium,11598451,45518.0,6.4
Belize,398845,5267.0,6.49
Benin,12175480,1238.0,2.93
Bermuda,62237,107792.0,1.8
Bhutan,773069,3010.0,6.04
Bolivia,11700207,3069.0,6.04
Bosnia and Herzegovina,3277152,6012.0,6.04
Botswana,2359585,5863.0,8.21
Brazil,212821986,6794.0,5.25
British Virgin Islands,30266,,3.38
Brunei,438202,,3.29
Bulgaria,6939018,10130.0,3.74
Burkina Faso,20997293,833.0,4.31
Burundi,11948454,217.0,5.01
Côte dIvoire,26486282,217.0,5.01
Cabo Verde,557026,2924.0,5.01
Cambodia,16758448,1578.0,1.73
Cameroon,26655083,1539.0,2.81
Canada,37799407,43258.0,5.0
Caribbean Netherlands,26265,43258.0,5.64
Cayman Islands,65854,83329.0,5.64
Central African Republic,4843954,435.0,1.51
Chad,16502877,644.0,2.29
Channel Islands,174140,,2.29
Chile,19144605,13094.0,4.2
China,1440297825,10409.0,3.75
Colombia,50976248,5307.0,4.31
Comoros,872695,1520.0,2.85
Congo,5540555,1520.0,3.52
Cook Islands,17567,1838.0,3.52
Costa Rica,5102158,12133.0,5.94
Croatia,4100719,14199.0,4.1
Cuba,11325391,9500.0,10.67
Curaçao,164211,9500.0,10.67
Cyprus,1208886,28036.0,6.21
Czech Republic (Czechia),10712481,28036.0,6.21
Denmark,5795780,60915.0,8.02
Djibouti,990447,2918.0,6.81
Dominica,72017,7003.0,4.91
Dominican Republic,10866667,7168.0,2.86
DR Congo,90003954,7168.0,2.86
Ecuador,17688599,5645.0,4.35
