country,avg_primary_enrollment_pct,avg_primary_completion_pct,avg_secondary_enrollment_pct,avg_secondary_completion_pct,avg_tertiary_enrollment_pct,avg_tertiary_completion_pct
Afghanistan,94.04,83.72,38.88,46.69,3.77,3.59
Albania,102.81,96.55,83.23,91.75,35.44,2.26
Algeria,111.22,97.51,79.28,70.44,26.03,4.61
American Samoa,111.22,97.51,79.28,70.44,26.03,4.61
Andorra,111.22,97.51,79.28,70.44,26.03,4.61
Angola,114.1,40.99,21.77,18.59,4.7,4.61
Anguilla,114.1,40.99,21.77,18.59,4.7,4.61
Antigua and Barbuda,103.57,102.19,102.52,96.77,17.22,4.61
Argentina,116.43,100.36,98.71,84.28,68.85,3.02
Armenia,99.47,94.69,91.54,92.81,42.1,12.21
Aruba,111.69,94.46,98.66,94.09,29.21,12.21
Australia,103.67,94.46,141.15,94.09,76.5,15.77
Austria,101.4,98.86,99.34,99.7,60.8,8.23
Azerbaijan,97.63,96.13,99.34,85.35,20.67,8.23
Bahamas,106.61,98.85,91.75,93.99,20.67,8.23
Bahrain,98.95,97.96,95.55,94.4,35.74,8.55
Bangladesh,105.41,64.66,50.22,63.01,8.47,2.12
Barbados,98.15,96.61,105.15,100.97,58.52,1.42
Belarus,102.83,103.33,107.63,104.82,73.41,1.42
Belgium,103.35,103.33,129.46,91.0,64.84,16.15
Belize,112.49,101.29,76.15,62.85,19.34,3.24
Benin,108.19,63.01,37.58,32.63,8.39,1.46
Bermuda,94.58,94.39,77.14,84.76,28.73,1.46
Bhutan,97.66,81.29,58.35,62.31,7.11,1.46
Bolivia,109.04,93.36,82.97,88.49,36.95,6.98
Bosnia and Herzegovina,109.04,86.57,82.97,61.21,21.84,6.98
Botswana,107.24,99.08,77.45,92.48,14.95,1.85
Brazil,130.43,109.12,99.87,73.08,34.69,4.35
British Virgin Islands,98.07,95.49,99.87,84.69,55.01,4.35
Brunei,109.31,108.31,96.13,105.27,18.15,5.64
Bulgaria,101.98,97.95,92.93,46.99,53.03,11.54
Burkina Faso,67.72,46.9,19.68,21.35,3.14,11.54
Burundi,102.62,49.27,20.84,22.88,2.7,0.37
Côte dIvoire,102.62,49.27,20.84,22.88,2.7,0.37
Cabo Verde,102.62,49.27,20.84,22.88,2.7,0.37
Cambodia,123.01,84.84,30.59,42.78,7.17,0.78
Cameroon,102.63,65.28,37.63,32.51,9.09,1.2
Canada,98.82,97.82,103.65,32.51,58.88,19.01
Caribbean Netherlands,112.53,95.33,79.57,71.5,12.13,19.01
