country,avg_pisa_reading,avg_pisa_mathematics,avg_pisa_science
Afghanistan,,,
Albania,383.0,391.0,398.0
Algeria,350.0,360.0,376.0
American Samoa,,,
Andorra,,,
Angola,,,
Anguilla,,,
Antigua and Barbuda,,,
Argentina,402.0,391.0,405.0
Armenia,,,
Aruba,,,
Australia,516.0,515.0,523.0
Austria,486.0,502.0,500.0
Azerbaijan,357.0,453.0,378.0
Bahamas,,,
Bahrain,,,
Bangladesh,,,
Barbados,,,
Belarus,,,
Belgium,505.0,518.0,505.0
Belize,,,
Benin,,,
Bermuda,,,
Bhutan,,,
Bolivia,,,
Bosnia and Herzegovina,,,
Botswana,,,
Brazil,403.0,369.0,394.0
British Virgin Islands,,,
Brunei,,,
Bulgaria,426.0,430.0,443.0
Burkina Faso,,,
Burundi,,,
Côte dIvoire,,,
Cabo Verde,,,
Cambodia,,,
Cameroon,,,
Canada,527.0,526.0,527.0
Caribbean Netherlands,,,
Cayman Islands,,,
Central African Republic,,,
Chad,,,
Channel Islands,,,
Chile,440.0,412.0,438.0
China,540.0,581.0,558.0
Colombia,407.0,379.0,401.0
Comoros,,,
Congo,,,
Cook Islands,,,
Costa Rica,437.0,406.0,426.0
Croatia,481.0,466.0,487.0
Cuba,,,
Curaçao,,,
Cyprus,446.0,437.0,435.0
Czech Republic (Czechia),,,
Denmark,496.0,509.0,492.0
Djibouti,,,
Dominica,,,
Dominican Republic,358.0,328.0,332.0
DR Congo,,,
Ecuador,,,
Egypt,,,
El Salvador,,,
Equatorial Guinea,,,
Eritrea,,,
Estonia,509.0,517.0,534.0
Eswatini,,,
Ethiopia,,,
Faeroe Islands,,,
Falkland Islands,,,
Fiji,,,
Finland,537.0,533.0,547.0
France,498.0,501.0,500.0
French Guiana,,,
French Polynesia,,,
Gabon,,,
Gambia,,,
Georgia,388.0,392.0,392.0
Germany,497.0,505.0,510.0
Ghana,,,
Gibraltar,,,
Greece,472.0,454.0,468.0
Greenland,,,
Grenada,,,
Guadeloupe,,,
Guam,,,
Guatemala,,,
Guinea,,,
Guinea-Bissau,,,
Guyana,,,
Haiti,,,
Holy See,,,
Honduras,,,
Hong Kong,529.0,554.0,542.0
Hungary,483.0,485.0,496.0
Iceland,491.0,504.0,488.0
India,,,
Indonesia,390.0,375.0,392.0
Iran,,,
Iraq,,,
Ireland,517.0,500.0,510.0
Isle of Man,,,
Israel,466.0,452.0,456.0
Italy,482.0,474.0,484.0
Jamaica,,,
Japan,515.0,535.0,542.0
Jordan,403.0,384.0,414.0
Kazakhstan,403.0,432.0,427.0
Kenya,,,
Kiribati,,,
Kuwait,,,
Kyrgyzstan,299.0,321.0,326.0
Laos,,,
Latvia,481.0,481.0,488.0
Lebanon,347.0,396.0,386.0
Lesotho,,,
Liberia,,,
Libya,,,
Liechtenstein,507.0,529.0,514.0
Lithuania,472.0,480.0,488.0
Luxembourg,474.0,482.0,478.0
Macao,499.0,532.0,519.0
Madagascar,,,
Malawi,,,
Malaysia,414.0,424.0,428.0
Maldives,,,
Mali,,,
Malta,444.0,471.0,463.0
Marshall Islands,,,
Martinique,,,
Mauritania,,,
Mauritius,407.0,420.0,417.0
Mayotte,,,
Mexico,417.0,403.0,414.0
Micronesia,,,
Moldova,402.0,409.0,420.0
Monaco,,,
Mongolia,,,
Montenegro,412.0,407.0,409.0
Montserrat,,,
Morocco,,,
Mozambique,,,
Myanmar,,,
Namibia,,,
Nauru,,,
Nepal,,,
Netherlands,508.0,526.0,520.0
New Caledonia,,,
New Zealand,519.0,516.0,523.0
Nicaragua,,,
Niger,,,
Nigeria,,,
Niue,,,
North Korea,,,
North Macedonia,362.0,376.0,392.0
Northern Mariana Islands,,,
Norway,502.0,496.0,494.0
Oman,,,
Pakistan,,,
Palau,,,
Panama,371.0,360.0,376.0
Papua New Guinea,,,
Paraguay,,,
Peru,370.0,353.0,368.0
Philippines,,,
Poland,501.0,495.0,502.0
Portugal,483.0,475.0,481.0
Puerto Rico,,,
Qatar,368.0,366.0,383.0
Réunion,,,
Romania,424.0,431.0,432.0
Russia,462.0,478.0,480.0
Rwanda,,,
Saint Barthelemy,,,
Saint Helena,,,
Saint Kitts & Nevis,,,
Saint Lucia,,,
Saint Martin,,,
Saint Pierre & Miquelon,,,
Samoa,,,
San Marino,,,
Sao Tome & Principe,,,
Saudi Arabia,,,
Senegal,,,
Serbia,425.0,441.0,440.0
Seychelles,,,
Sierra Leone,,,
Singapore,534.0,567.0,550.0
Sint Maarten,,,
Slovakia,466.0,489.0,481.0
Slovenia,491.0,504.0,514.0
Solomon Islands,,,
Somalia,,,
South Africa,,,
South Korea,535.0,543.0,534.0
South Sudan,,,
Spain,483.0,482.0,491.0
Sri Lanka,,,
St. Vincent & Grenadines,,,
State of Palestine,,,
Sudan,,,
Suriname,,,
Sweden,503.0,498.0,499.0
Switzerland,499.0,529.0,510.0
Syria,,,
Taiwan,,,
Tajikistan,,,
Tanzania,,,
Thailand,423.0,421.0,430.0
Timor-Leste,,,
Togo,,,
Tokelau,,,
Tonga,,,
Trinidad and Tobago,422.0,416.0,417.0
Tunisia,385.0,370.0,391.0
Turkey,451.0,432.0,440.0
Turkmenistan,,,
Turks and Caicos,,,
Tuvalu,,,
U.S. Virgin Islands,,,
Uganda,,,
Ukraine,,,
United Arab Emirates,436.0,427.0,441.0
United Kingdom,503.0,502.0,517.0
United States,499.0,481.0,496.0
Uruguay,424.0,421.0,429.0
Uzbekistan,,,
Vanuatu,,,
Venezuela,,,
Vietnam,497.0,503.0,527.0
Wallis & Futuna,,,
Western Sahara,,,
Yemen,,,
Zambia,,,
Zimbabwe,,,
