country,population_2020,urban_pop_pct,gdp_per_capita_2020_usd
Afghanistan,39074280,0.25,517.0
Albania,2877239,0.63,5332.0
Algeria,43984569,0.73,3337.0
American Samoa,55169,0.88,15502.0
Andorra,77287,0.88,37207.0
Angola,33032075,0.67,1604.0
Anguilla,15026,,1604.0
Antigua and Barbuda,98069,0.26,14788.0
Argentina,45267449,0.93,8496.0
Armenia,2964219,0.63,4506.0
Aruba,106845,0.44,24488.0
Australia,25550683,0.86,51720.0
Austria,9015361,0.57,48809.0
Azerbaijan,10154978,0.56,4230.0
Bahamas,393893,0.86,4230.0
Bahrain,1711057,0.89,23502.0
Bangladesh,164972348,0.39,2233.0
Barbados,287437,0.31,16644.0
Belarus,9448772,0.79,6543.0
Belgium,11598451,0.98,45518.0
Belize,398845,0.46,5267.0
Benin,12175480,0.48,1238.0
Bermuda,62237,0.97,107792.0
Bhutan,773069,0.46,3010.0
Bolivia,11700207,0.69,3069.0
Bosnia and Herzegovina,3277152,0.52,6012.0
Botswana,2359585,0.73,5863.0
Brazil,212821986,0.88,6794.0
British Virgin Islands,30266,0.52,
Brunei,438202,0.8,
Bulgaria,6939018,0.76,10130.0
Burkina Faso,20997293,0.31,833.0
Burundi,11948454,0.14,217.0
Côte dIvoire,26486282,0.51,217.0
Cabo Verde,557026,0.68,2924.0
Cambodia,16758448,0.24,1578.0
Cameroon,26655083,0.56,1539.0
Canada,37799407,0.81,43258.0
Caribbean Netherlands,26265,0.75,43258.0
Cayman Islands,65854,0.97,83329.0
Central African Republic,4843954,0.43,435.0
Chad,16502877,0.23,644.0
Channel Islands,174140,0.3,
Chile,19144605,0.85,13094.0
China,1440297825,0.61,10409.0
Colombia,50976248,0.8,5307.0
Comoros,872695,0.29,1520.0
Congo,5540555,0.7,1520.0
Cook Islands,17567,0.75,1838.0
Costa Rica,5102158,0.8,12133.0
Croatia,4100719,0.58,14199.0
Cuba,11325391,0.78,9500.0
Curaçao,164211,0.89,9500.0
Cyprus,1208886,0.67,28036.0
Czech Republic (Czechia),10712481,0.74,28036.0
Denmark,5795780,0.88,60915.0
Djibouti,990447,0.79,2918.0
Dominica,72017,0.74,7003.0
Dominican Republic,10866667,0.85,7168.0
DR Congo,90003954,0.46,7168.0
Ecuador,17688599,0.63,5645.0
Egypt,102659126,0.43,5645.0
El Salvador,6491923,0.73,3903.0
Equatorial Guinea,1410419,0.73,6328.0
Eritrea,3554797,0.63,
Estonia,1326693,0.68,23595.0
Eswatini,1162233,0.3,3373.0
Ethiopia,115434444,0.21,919.0
Faeroe Islands,48896,0.43,34330.0
Falkland Islands,3497,0.66,34330.0
Fiji,897573,0.59,4864.0
Finland,5542237,0.86,49171.0
France,65298930,0.82,39055.0
French Guiana,299958,0.87,39055.0
French Polynesia,281191,0.64,18910.0
Gabon,2234448,0.87,6680.0
Gambia,2427782,0.59,6680.0
Georgia,3987805,0.58,4256.0
Germany,83830972,0.76,46773.0
Ghana,31181428,0.57,2177.0
Gibraltar,33689,,
Greece,10413936,0.85,17659.0
Greenland,56787,0.87,54571.0
Grenada,112614,0.35,8438.0
Guadeloupe,400136,,8438.0
Guam,169031,0.95,34781.0
Guatemala,17971382,0.52,4605.0
Guinea,13191279,0.39,1074.0
Guinea-Bissau,1975718,0.45,710.0
Guyana,787215,0.27,6863.0
Haiti,11426356,0.57,1283.0
Holy See,801,,43416.0
Honduras,9931333,0.57,2354.0
Hong Kong,7507523,,2354.0
Hungary,9655983,0.72,16121.0
Iceland,341628,0.94,59200.0
India,1382345085,0.35,1910.0
Indonesia,274021604,0.56,3894.0
Iran,84176929,0.76,3894.0
Iraq,40372771,0.73,4332.0
Ireland,4947267,0.63,85420.0
Isle of Man,85112,0.53,
Israel,8678517,0.93,44847.0
Italy,60446035,0.69,31911.0
Jamaica,2963429,0.55,4897.0
Japan,126407422,0.92,39918.0
Jordan,10220604,0.91,4043.0
Kazakhstan,18815231,0.58,9122.0
Kenya,53968739,0.28,1936.0
Kiribati,119760,0.57,1431.0
Kuwait,4281320,,24300.0
Kyrgyzstan,6542426,0.36,1183.0
Laos,7293542,0.36,2593.0
Latvia,1882408,0.69,18207.0
Lebanon,6819976,0.78,5600.0
Lesotho,2145194,0.31,990.0
Liberia,5077411,0.53,598.0
Libya,6887247,0.78,7568.0
Liechtenstein,38147,0.15,157755.0
Lithuania,2715340,0.71,20340.0
Luxembourg,627704,0.88,117371.0
Macao,650846,,117371.0
Madagascar,27808395,0.39,462.0
Malawi,19211425,0.18,629.0
Malaysia,32436963,0.78,10161.0
Maldives,542151,0.35,7282.0
Mali,20346106,0.44,823.0
Malta,441750,0.93,28978.0
Marshall Islands,59259,0.7,5568.0
Martinique,375213,0.92,5568.0
Mauritania,4669775,0.57,1868.0
Mauritius,1272140,0.41,9007.0
Mayotte,273905,0.46,9007.0
Mexico,129166028,0.84,8655.0
Micronesia,115231,0.21,8655.0
Moldova,4032294,0.43,4501.0
Monaco,39290,,182539.0
Mongolia,3287242,0.67,4041.0
Montenegro,628080,0.68,7677.0
Montserrat,4993,0.1,7677.0
Morocco,36985624,0.64,3258.0
Mozambique,31398811,0.38,450.0
Myanmar,54473253,0.31,1477.0
Namibia,2548663,0.55,4251.0
Nauru,10836,,9308.0
Nepal,29225196,0.21,1139.0
Netherlands,17141544,0.92,52163.0
New Caledonia,285972,0.72,34801.0
New Zealand,4829021,0.87,41597.0
Nicaragua,6638075,0.57,1863.0
Niger,24346468,0.17,565.0
Nigeria,206984347,0.52,2075.0
Niue,1628,0.46,2075.0
North Korea,25798588,0.63,61452.0
North Macedonia,2083359,0.59,5965.0
Northern Mariana Islands,57619,0.88,
Norway,5428594,0.83,67329.68
Oman,5128058,0.87,16707.62
Pakistan,221612785,0.35,1322.32
Palau,18109,,14016.25
Panama,4326296,0.68,12569.17
Papua New Guinea,8975531,0.13,2446.07
Paraguay,7147553,0.62,5353.35
Peru,33050211,0.79,6056.34
Philippines,109830324,0.47,3224.42
Poland,37839255,0.6,15816.99
Portugal,10191409,0.66,22242.41
Puerto Rico,2846860,,31393.91
Qatar,2889284,0.96,52315.66
Réunion,896422,1.0,52315.66
Romania,19214608,0.55,13047.43
