Country,Avg PISA performance_reading,Avg PISA performance_mathematics,Avg PISA performance_science
Afghanistan,,,
Albania,383,391,398
Algeria,350,360,376
American Samoa,,,
Andorra,,,
Angola,,,
Anguilla,,,
Antigua and Barbuda,,,
Argentina,402,391,405
Armenia,,,
Aruba,,,
Australia,516,515,523
Austria,486,502,500
Azerbaijan,357,453,378
Bahamas,,,
Bahrain,,,
Bangladesh,,,
Barbados,,,
Belarus,,,
Belgium,505,518,505
Belize,,,
Benin,,,
Bermuda,,,
Bhutan,,,
Bolivia,,,
Bosnia and Herzegovina,,,
Botswana,,,
Brazil,403,369,394
British Virgin Islands,,,
Brunei,,,
Bulgaria,426,430,443
Burkina Faso,,,
Burundi,,,
Côte d'Ivoire,,,
Cabo Verde,,,
Cambodia,,,
Cameroon,,,
Canada,527,526,527
Caribbean Netherlands,,,
Cayman Islands,,,
Central African Republic,,,
Chad,,,
Channel Islands,,,
Chile,440,412,438
China,540,581,558
Colombia,407,379,401
Comoros,,,
Congo,,,
Cook Islands,,,
Costa Rica,437,406,426
Croatia,481,466,487
Cuba,,,
Curaçao,,,
Cyprus,446,437,435
Czech Republic (Czechia),,,
Denmark,496,509,492
Djibouti,,,
Dominica,,,
Dominican Republic,358,328,332
DR Congo,,,
Ecuador,,,
Egypt,,,
El Salvador,,,
Equatorial Guinea,,,
Eritrea,,,
Estonia,509,517,534
Eswatini,,,
Ethiopia,,,
Faeroe Islands,,,
Falkland Islands,,,
Fiji,,,
Finland,537,533,547
France,498,501,500
French Guiana,,,
French Polynesia,,,
Gabon,,,
Gambia,,,
Georgia,388,392,392
Germany,497,505,510
Ghana,,,
Gibraltar,,,
Greece,472,454,468
Greenland,,,
Grenada,,,
Guadeloupe,,,
Guam,,,
Guatemala,,,
Guinea,,,
Guinea-Bissau,,,
Guyana,,,
Haiti,,,
Holy See,,,
Honduras,,,
Hong Kong,529,554,542
Hungary,483,485,496
Iceland,491,504,488
India,,,
Indonesia,390,375,392
Iran,,,
Iraq,,,
Ireland,517,500,510
Isle of Man,,,
Israel,466,452,456
Italy,482,474,484
Jamaica,,,
Japan,515,535,542
Jordan,403,384,414
Kazakhstan,403,432,427
Kenya,,,
Kiribati,,,
Kuwait,,,
Kyrgyzstan,299,321,326
Laos,,,
Latvia,481,481,488
Lebanon,347,396,386
Lesotho,,,
Liberia,,,
Libya,,,
Liechtenstein,507,529,514
Lithuania,472,480,488
Luxembourg,474,482,478
Macao,499,532,519
Madagascar,,,
Malawi,,,
Malaysia,414,424,428
Maldives,,,
Mali,,,
Malta,444,471,463
Marshall Islands,,,
Martinique,,,
Mauritania,,,
Mauritius,407,420,417
Mayotte,,,
Mexico,417,403,414
Micronesia,,,
Moldova,402,409,420
Monaco,,,
Mongolia,,,
Montenegro,412,407,409
Montserrat,,,
Morocco,,,
Mozambique,,,
Myanmar,,,
Namibia,,,
Nauru,,,
Nepal,,,
Netherlands,508,526,520
New Caledonia,,,
New Zealand,519,516,523
Nicaragua,,,
Niger,,,
Nigeria,,,
Niue,,,
North Korea,,,
North Macedonia,362,376,392
Northern Mariana Islands,,,
Norway,502,496,494
Oman,,,
Pakistan,,,
Palau,,,
Panama,371,360,376
Papua New Guinea,,,
Paraguay,,,
Peru,370,353,368
Philippines,,,
Poland,501,495,502
Portugal,483,475,481
Puerto Rico,,,
Qatar,368,366,383
Réunion,,,
Romania,424,431,432
Russia,462,478,480
Rwanda,,,
Saint Barthelemy,,,
Saint Helena,,,
Saint Kitts & Nevis,,,
Saint Lucia,,,
Saint Martin,,,
Saint Pierre & Miquelon,,,
Samoa,,,
San Marino,,,
Sao Tome & Principe,,,
Saudi Arabia,,,
Senegal,,,
Serbia,425,441,440
Seychelles,,,
Sierra Leone,,,
Singapore,534,567,550
Sint Maarten,,,
Slovakia,466,489,481
Slovenia,491,504,514
Solomon Islands,,,
Somalia,,,
South Africa,,,
South Korea,535,543,534
South Sudan,,,
Spain,483,482,491
Sri Lanka,,,
St. Vincent & Grenadines,,,
State of Palestine,,,
Sudan,,,
Suriname,,,
Sweden,503,498,499
Switzerland,499,529,510
Syria,,,
Taiwan,,,
Tajikistan,,,
Tanzania,,,
Thailand,423,421,430
Timor-Leste,,,
Togo,,,
Tokelau,,,
Tonga,,,
Trinidad and Tobago,422,416,417
Tunisia,385,370,391
Turkey,451,432,440
Turkmenistan,,,
Turks and Caicos,,,
Tuvalu,,,
U.S. Virgin Islands,,,
Uganda,,,
Ukraine,,,
United Arab Emirates,436,427,441
United Kingdom,503,502,517
United States,499,481,496
Uruguay,424,421,429
Uzbekistan,,,
Vanuatu,,,
Venezuela,,,
Vietnam,497,503,527
Wallis & Futuna,,,
Western Sahara,,,
Yemen,,,
Zambia,,,
Zimbabwe,,,
